season,nfl_id,name,position,ngs_position,position_group,team_id,games_played,games_started,game_snaps,team_snaps,pass_rush_snaps,pass_rush_rate,get_off_time,qb_pressures,qb_pressure_rate,time_to_pressure,sacks,sack_rate,time_to_sack,qb_defeats,turn_pressures,qualified_defender
2019,45215,Eric Wilson,OLB,LB,LB,3000,16,6,369,1053,21,0.1066,1.238,4,0.1905,2.65,3,0.1429,3.49633,1,0,False
2019,46266,Shaun Dion Hamilton,LB,LB,LB,5110,15,0,369,1021,27,0.133,0.84437,6,0.2222,4.13333,1,0.037,6.94,0,0,False
2019,46249,Foley Fatukasi,DT,DT,DL,3430,14,0,367,915,168,0.9882,0.99082,10,0.0595,3.64,1,0.006,6.573,2,0,False
2019,46438,Tyler Lancaster,DT,DT,DL,1800,16,10,366,998,155,1,1.20738,7,0.0452,3.58571,1.5,0.0097,5.8395,1,1,False
2019,44859,Tyus Bowser,OLB,ED,LB,0325,16,0,361,921,207,0.75,0.96786,22,0.1063,2.71818,5,0.0242,4.6498,8,2,False
2019,47913,Drue Tranquill,LB,LB,LB,4400,12,3,360,688,13,0.0583,1.1185,1,0.0769,1.5,0,,0,1,0,True
2019,46188,Kyzir White,LB,ED,LB,4400,16,7,358,923,11,0.0853,1.169,0,,0,0,,0,0,0,False
2019,45033,Ifeadi Odenigbo,DE,ED,DL,3000,16,0,355,1053,260,0.9886,0.95336,26,0.1,2.83846,7,0.0269,5.28557,9,2,False
2019,40048,Akeem Spence,DT,DT,DL,2250,15,0,353,937,172,0.9885,1.01602,3,0.0174,2.7,0,,0,0,0,False
2019,46117,Uchenna Nwosu,LB,ED,LB,4400,16,3,343,923,182,0.8835,0.879,29,0.1593,2.57241,2,0.011,3.545,17,2,False
2019,47811,Jerry Tillery,DT,DT,DL,4400,15,3,341,860,176,0.9888,1.04779,10,0.0568,3.11,2,0.0114,4.36067,4,0,False
2019,42391,Denzel Perryman,ILB,LB,LB,4400,12,10,340,685,4,0.0258,0,0,,0,0,,0,0,0,False
2019,42467,Kwon Alexander,MLB,LB,LB,4500,8,8,338,431,19,0.0922,1.03333,2,0.1053,2,0.5,0.0263,4.529,2,0,True
2019,43791,Morgan Fox,DE,DT,DL,2510,16,3,338,1056,211,0.986,1.00993,14,0.0664,2.95,2,0.0095,3.8275,8,0,False
2019,46199,Josh Sweat,DE,ED,DL,3700,16,0,333,967,250,0.9881,0.8052,30,0.12,2.95,4,0.016,4.2242,12,0,False
2019,45317,Donald Payne,MLB,LB,LB,2250,6,5,332,378,16,0.0874,0.8906,1,0.0625,2,1,0.0625,3.464,1,0,True
2019,44980,Avery Moss,DE,ED,DL,2700,11,8,330,718,139,0.9653,1.00665,7,0.0504,2.92857,0,,0,2,0,False
2019,48544,Shy Tuttle,DT,DT,DL,3300,16,1,328,999,188,0.9895,1.18923,11,0.0585,3.68182,2,0.0106,6.1625,1,1,False
